"";"";"Periods";"2012";"2012";"2013";"2013";"2014";"2014";"2015";"2015";"2016";"2016";"2017";"2017"
"Subjects_1";"Country of residence";"Regions";"Nederland";"Amsterdam";"Nederland";"Amsterdam";"Nederland";"Amsterdam";"Nederland";"Amsterdam";"Nederland";"Amsterdam";"Nederland";"Amsterdam"
"Guests";"Indonesia";"x 1 000";"33";"16";"38";"18";"41";"22";"46";"28";"54";"34";"58";"36"
"Guests";"HongKong";"x 1 000";"24";"9";"23";"11";"37";"20";"45";"26";"41";"27";"44";"29"
"Guests";"Israel";"x 1 000";"90";"62";"99";"66";"117";"79";"137";"96";"144";"108";"165";"121"
"Guests";"Taiwan";"x 1 000";"27";"9";"26";"9";"33";"10";"43";"12";"42";"13";"75";"23"
"Guests";"China";"x 1 000";"170";"85";"192";"93";"209";"82";"279";"113";"248";"120";"312";"157"
"Guests";"South Korea";"x 1 000";"28";"14";"39";"18";"44";"20";"48";"24";"52";"28";"57";"30"
"Guests";"India";"x 1 000";"77";"34";"79";"29";"86";"37";"99";"46";"123";"59";"162";"74"
"Guests";"Other Asian countries";"x 1 000";"202";"118";"219";"123";"254";"144";"277";"163";"261";"152";"355";"193"
"Guests";"Total Australia and Oceania";"x 1 000";"166";"123";"161";"113";"185";"129";"185";"130";"197";"144";"230";"168"
"Guests";"Australia";"x 1 000";"140";"108";"132";"96";"146";"107";"146";"108";"152";"116";"178";"134"
"Guests";"New Zealand";"x 1 000";"17";"11";"17";"11";"21";"13";"23";"15";"25";"17";"27";"19"
"Guests";"Other Australian and Oceanian countries";"x 1 000";"9";"4";"12";"6";"18";"9";"17";"7";"19";"11";"25";"15"
"Guests";"Africa";"x 1 000";"112";"62";"119";"58";"132";"63";"127";"67";"135";"68";"149";"76"
"Guests";"South Africa";"x 1 000";"34";"19";"34";"19";"35";"18";"37";"19";"36";"17";"41";"21"
"Guests";"Other African countries";"x 1 000";"78";"43";"84";"39";"97";"45";"90";"48";"99";"51";"108";"55"
