GEOUNIT_CODE,QUERY_BASETERM,keyword,GEOUNIT_TYPE,safe_keyword,GT_concept,,,
WK036210,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036211,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036212,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036213,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036214,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036300,FALSE,Burgwallen-Oude Zijde,quarter,,,,,
WK036300,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036301,FALSE,Burgwallen-Nieuwe Zijde,quarter,,,,,
WK036301,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036302,FALSE,Grachtengordel-West,quarter,,,,,
WK036302,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036303,FALSE,Grachtengordel-Zuid,quarter,,,,,
WK036303,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036304,FALSE,Nieuwmarkt/Lastage,quarter,,,,,
WK036304,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036305,FALSE,Haarlemmerbuurt,quarter,,,,,
WK036305,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036306,FALSE,Jordaan,quarter,,,,,
WK036306,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036307,FALSE,De Weteringschans,quarter,,,,,
WK036307,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036308,FALSE,Weesperbuurt/Plantage,quarter,,,,,
WK036308,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036309,FALSE,Oostelijke Eilanden/Kadijken,quarter,,,,,
WK036309,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036310,FALSE,Westelijk Havengebied,quarter,,,,,
WK036310,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036311,FALSE,Bedrijventerrein Sloterdijk,quarter,,,,,
WK036311,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036312,FALSE,Houthavens,quarter,Houthaven,%2Fm%2F0cc9xdm,,,
WK036312,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036313,FALSE,Spaarndammer- en Zeeheldenbuurt,quarter,,,,,
WK036313,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036314,FALSE,Staatsliedenbuurt,quarter,Staatsliedenbuurt,%2Fm%2F0cc9njn,,,
WK036314,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036315,FALSE,Centrale Markt,quarter,,,,,
WK036315,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036316,FALSE,Frederik Hendrikbuurt,quarter,Frederik Hendrikbuurt,%2Fm%2F0cc7bdj,,,
WK036316,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036317,FALSE,Da Costabuurt,quarter,,,,,
WK036317,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036318,FALSE,Kinkerbuurt,quarter,,,,,
WK036318,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036319,FALSE,Van Lennepbuurt,quarter,,,,,
WK036319,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036320,FALSE,Helmersbuurt,quarter,,,,,
WK036320,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036321,FALSE,Overtoomse Sluis,quarter,Overtoombuurt,%2Fm%2F0cc94js,,,
WK036321,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036322,FALSE,Vondelbuurt,quarter,,,,,
WK036322,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036323,FALSE,Zuidas,quarter,,,,,
WK036323,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036324,FALSE,Oude Pijp,quarter,,,,,
WK036324,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036325,FALSE,Nieuwe Pijp,quarter,Nieuwe Pijp,%2Fm%2F0cc7t9d,,,
WK036325,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036326,FALSE,Zuid Pijp,quarter,,,,,
WK036326,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036327,FALSE,Weesperzijde,quarter,Weesperzijde,%2Fm%2F0cc8fcx,,,
WK036327,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036328,FALSE,Oosterparkbuurt,quarter,Oosterparkbuurt,%2Fm%2F0cc8vcw,,,
WK036328,TRUE,Amsterdam,quarter,261,70,84.1,83,100
WK036329,FALSE,Dapperbuurt,quarter,,,,,
